Data da Medição;Número do veículo;Número do eixo do trem;Veículo;Número do eixo do veículo;Lateral do veículo;Velocidade do eixo;Extremidade do eixo;Direção;Lateral da linha;Falha de rolamento;Alerta de rolamento;Consistente;Achatamento de pista de roda;ErsDB
2022-01-24 23:32:00;124;498;734879;2,0;R;48;A;Sentido RJ;Proximo;.;0;;.;53
2022-01-24 23:32:00;124;499;734879;3,0;L;48;A;Sentido RJ;Distante;.;0;;.;52
2022-01-24 23:32:00;124;499;734879;3,0;R;48;A;Sentido RJ;Proximo;.;0;;.;53
2022-01-24 23:32:00;124;500;734879;4,0;L;48;A;Sentido RJ;Distante;.;0;;.;54
2022-01-24 23:32:00;124;500;734879;4,0;R;48;A;Sentido RJ;Proximo;RS3;0;False;.;58
2022-01-25 04:48:00;95;381;612934;4,0;R;47;B;Sentido RJ;Distante;RS3;0;False;.;54
2022-01-25 04:48:00;95;381;612934;4,0;L;47;B;Sentido RJ;Proximo;.;0;;.;57
2022-01-25 04:48:00;95;382;612934;3,0;R;47;B;Sentido RJ;Distante;.;0;;.;56
2022-01-25 04:48:00;95;382;612934;3,0;L;47;B;Sentido RJ;Proximo;RS3;0;False;.;56
2022-01-25 04:48:00;95;383;612934;2,0;R;47;B;Sentido RJ;Distante;RS3;0;False;.;55
2022-01-25 04:48:00;95;383;612934;2,0;L;47;B;Sentido RJ;Proximo;.;0;;.;54
2022-01-25 04:48:00;95;384;612934;1,0;R;47;B;Sentido RJ;Distante;.;0;;.;52
2022-01-25 04:48:00;95;384;612934;1,0;L;47;B;Sentido RJ;Proximo;.;0;;.;54
2022-01-26 19:44:00;17;69;734879;4,0;R;52;B;Sentido RJ;Distante;.;0;;.;55
2022-01-26 19:44:00;17;69;734879;4,0;L;52;B;Sentido RJ;Proximo;.;0;;.;57
2022-01-26 19:44:00;17;70;734879;3,0;R;52;B;Sentido RJ;Distante;.;0;;.;53
2022-01-26 19:44:00;17;70;734879;3,0;L;52;B;Sentido RJ;Proximo;.;0;;.;56
2022-01-26 19:44:00;17;71;734879;2,0;R;52;B;Sentido RJ;Distante;.;0;;.;52
2022-01-26 19:44:00;17;71;734879;2,0;L;52;B;Sentido RJ;Proximo;.;0;;.;53
2022-01-26 19:44:00;17;72;734879;1,0;R;52;B;Sentido RJ;Distante;.;0;;.;53
2022-01-26 19:44:00;17;72;734879;1,0;L;52;B;Sentido RJ;Proximo;.;0;;.;57
2022-01-29 04:53:00;124;497;734879;1,0;L;44;A;Sentido RJ;Distante;.;0;;.;53
2022-01-29 04:53:00;124;497;734879;1,0;R;44;A;Sentido RJ;Proximo;.;0;;.;58
2022-01-29 04:53:00;124;498;734879;2,0;L;44;A;Sentido RJ;Distante;.;0;;;52
