Trem_;Veículo_;Rodeiro Veículo_;Média Rolamento Esquerdo (°C)_delta;Média Rolamento Direito (°C)_delta;DP Rolamento Esquerdo (°C)_delta;DP Rolamento Direito (°C)_delta;Rolamento Esquerdo (°C)_delta;Rolamento Direito (°C)_delta;Média Roda Esquerda (°C)_delta;Média Roda Direita (°C)_delta;DP Roda Esquerda (°C)_delta;DP Roda Direita (°C)_delta;Roda Esquerda (°C)_delta;Roda Direita (°C)_delta
NEG6156;612934;2;17,31;17,509999999999998;3,5500000000000003;2,39;22;32;43,639999999999986;48,44;12,5;11,559999999999999;7,0;6,0
NEG6156;612934;3;17,31;17,509999999999998;3,5500000000000003;2,39;11;12;43,639999999999986;48,44;12,5;11,559999999999999;39,0;41,0
NEG6156;612934;4;17,31;17,509999999999998;3,5500000000000003;2,39;39;28;43,639999999999986;48,44;12,5;11,559999999999999;20,0;54,0
NEH0102;612934;1;16,43;16,52;3,2199999999999998;2,35;30;27;92,53000000000002;110,17999999999999;17,769999999999996;16,700000000000003;88,0;103,0
NEH0102;612934;2;16,43;16,52;3,2199999999999998;2,35;18;18;92,53000000000002;110,17999999999999;17,769999999999996;16,700000000000003;88,0;87,0
NEH0102;612934;3;16,43;16,52;3,2199999999999998;2,35;23;24;92,53000000000002;110,17999999999999;17,769999999999996;16,700000000000003;112,0;111,0
NEH0102;612934;4;16,43;16,52;3,2199999999999998;2,35;23;20;92,53000000000002;110,17999999999999;17,769999999999996;16,700000000000003;98,0;185,0
NEH0140;612934;1;20,23;20,7;2,9299999999999997;2,8599999999999994;26;27;98,56;113,01999999999998;20,999999999999996;23,099999999999998;88,0;109,0
NEH0140;612934;2;20,23;20,7;2,9299999999999997;2,8599999999999994;21;21;98,56;113,01999999999998;20,999999999999996;23,099999999999998;72,0;82,0
NEH0140;612934;3;20,23;20,7;2,9299999999999997;2,8599999999999994;23;22;98,56;113,01999999999998;20,999999999999996;23,099999999999998;95,0;111,0
NEH0140;612934;4;20,23;20,7;2,9299999999999997;2,8599999999999994;25;20;98,56;113,01999999999998;20,999999999999996;23,099999999999998;128,0;81,0
NEH0140;734879;1;20,23;20,7;2,9299999999999997;2,8599999999999994;21;26;98,56;113,01999999999998;20,999999999999996;23,099999999999998;41,0;47,0
NEH0140;734879;2;20,23;20,7;2,9299999999999997;2,8599999999999994;27;22;98,56;113,01999999999998;20,999999999999996;23,099999999999998;25,0;27,0
NEH0140;734879;3;20,23;20,7;2,9299999999999997;2,8599999999999994;26;21;98,56;113,01999999999998;20,999999999999996;23,099999999999998;30,0;63,0
NEH0140;734879;4;20,23;20,7;2,9299999999999997;2,8599999999999994;22;21;98,56;113,01999999999998;20,999999999999996;23,099999999999998;24,0;50,0
NEH0236;612934;1;23,05;16,4;4,01;2,83;19;19;50,01;61,25;13,01;9,87;48,0;47,0
NEH0236;612934;2;23,05;16,4;4,01;2,83;24;24;50,01;61,25;13,01;9,87;41,0;52,0
NEH0236;612934;3;23,05;16,4;4,01;2,83;18;14;50,01;61,25;13,01;9,87;43,0;52,0
NEH0236;612934;4;23,05;16,4;4,01;2,83;27;15;50,01;61,25;13,01;9,87;43,0;100,0
NEH0236;734879;1;23,05;16,4;4,01;2,83;21;20;50,01;61,25;13,01;9,87;82,0;78,0
NEH0236;734879;2;23,05;16,4;4,01;2,83;28;24;50,01;61,25;13,01;9,87;70,0;103,0
NEH0236;734879;3;23,05;16,4;4,01;2,83;26;22;50,01;61,25;13,01;9,87;35,0;39,0
NEH0236;734879;4;23,05;16,4;4,01;2,83;29;26;50,01;61,25;13,01;9,87;39,0;53,0
NEH0340;612934;1;22,15;16,82;3,08;1,9399999999999995;17;19;52,67999999999999;66,72;11,170000000000002;9,220000000000002;45,0;30,0
NEH0340;612934;2;22,15;16,82;3,08;1,9399999999999995;21;12;52,67999999999999;66,72;11,170000000000002;9,220000000000002;33,0;47,0
NEH0340;612934;3;22,15;16,82;3,08;1,9399999999999995;34;18;52,67999999999999;66,72;11,170000000000002;9,220000000000002;72,0;73,0
NEH0340;612934;4;22,15;16,82;3,08;1,9399999999999995;26;15;52,67999999999999;66,72;11,170000000000002;9,220000000000002;48,0;47,0
NEH0340;734879;1;22,15;16,82;3,08;1,9399999999999995;26;21;52,67999999999999;66,72;11,170000000000002;9,220000000000002;67,0;78,0
NEH0340;734879;2;22,15;16,82;3,08;1,9399999999999995;26;20;52,67999999999999;66,72;11,170000000000002;9,220000000000002;67,0;67,0
