Trem_,Veículo_,Rodeiro Veículo_,Média Rolamento Esquerdo Trem (°C)_delta,Média Rolamento Direito Trem (°C)_delta,DP Rolamento Esquerdo Trem (°C)_delta,DP Rolamento Direito Trem (°C)_delta,Rolamento Esquerdo vagão (°C)_delta,Rolamento Direito vagão (°C)_delta,Média Roda Esquerda Trem (°C)_delta,Média Roda Direita Trem (°C)_delta,DP Roda Esquerda Trem (°C)_delta,DP Roda Direita Trem (°C)_delta,Roda Esquerda vagão (°C)_delta,Roda Direita vagão (°C)_delta
KPE0161,735917,2,8.18,9.88,1.9300000000000006,2.6899999999999995,14,11,0.0,0.0,0.0,0.0,0.0,0.0
KPE0161,735917,3,8.18,9.88,1.9300000000000006,2.6899999999999995,7,8,0.0,0.0,0.0,0.0,0.0,0.0
KPE0161,735917,4,8.18,9.88,1.9300000000000006,2.6899999999999995,14,10,0.0,0.0,0.0,0.0,0.0,0.0
KPE1117,735595,1,4.969999999999999,4.699999999999999,1.1099999999999999,0.73,6,6,0.0,0.0,0.0,0.0,0.0,0.0
KPE1117,735595,2,4.969999999999999,4.699999999999999,1.1099999999999999,0.73,4,6,0.0,0.0,0.0,0.0,0.0,0.0
KPE1117,735595,3,4.969999999999999,4.699999999999999,1.1099999999999999,0.73,9,7,0.0,0.0,0.0,0.0,0.0,0.0
KPE1117,735595,4,4.969999999999999,4.699999999999999,1.1099999999999999,0.73,9,10,0.0,0.0,0.0,0.0,0.0,0.0
KPE1117,735596,1,4.969999999999999,4.699999999999999,1.1099999999999999,0.73,7,8,0.0,0.0,0.0,0.0,0.0,0.0
KPE1117,735596,2,4.969999999999999,4.699999999999999,1.1099999999999999,0.73,9,8,0.0,0.0,0.0,0.0,0.0,0.0
KPE1117,735596,3,4.969999999999999,4.699999999999999,1.1099999999999999,0.73,13,11,0.0,0.0,0.0,0.0,0.0,0.0
KPE1117,735596,4,4.969999999999999,4.699999999999999,1.1099999999999999,0.73,7,8,0.0,0.0,0.0,0.0,0.0,0.0
KRP0109,735461,1,0.0,0.0,0.0,0.0,0,0,,,,,,
KRP0109,735461,2,0.0,0.0,0.0,0.0,0,0,,,,,,
KRP0109,735461,3,0.0,0.0,0.0,0.0,0,0,,,,,,
KRP0109,735461,4,0.0,0.0,0.0,0.0,0,0,,,,,,
KSV0105,735529,1,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,0,3,,,,,,
KSV0105,735529,2,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,5,2,,,,,,
KSV0105,735529,3,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,3,3,,,,,,
KSV0105,735529,4,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,2,1,,,,,,
KSV0105,735530,1,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,1,0,,,,,,
KSV0105,735530,2,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,1,4,,,,,,
KSV0105,735530,3,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,0,1,,,,,,
KSV0105,735530,4,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,2,4,,,,,,
KSV0105,735597,1,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,2,1,,,,,,
KSV0105,735597,2,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,1,1,,,,,,
KSV0105,735597,3,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,3,1,,,,,,
KSV0105,735597,4,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,3,2,,,,,,
KSV0105,735598,1,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,2,1,,,,,,
KSV0105,735598,2,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,2,1,,,,,,
KSV0105,735598,3,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,4,1,,,,,,
KSV0105,735598,4,0.6500000000000004,2.080000000000001,0.6299999999999999,1.2899999999999996,1,1,,,,,,
NAG1104,735051,1,20.05,17.64,2.27,1.9300000000000002,19,19,123.15,133.9,24.64,24.870000000000005,102.0,110.0
NAG1104,735051,2,20.05,17.64,2.27,1.9300000000000002,19,22,123.15,133.9,24.64,24.870000000000005,43.0,43.0
NAG1104,735051,3,20.05,17.64,2.27,1.9300000000000002,20,17,123.15,133.9,24.64,24.870000000000005,113.0,133.0
NAG1104,735051,4,20.05,17.64,2.27,1.9300000000000002,18,15,123.15,133.9,24.64,24.870000000000005,146.0,134.0
NAG1104,735052,1,20.05,17.64,2.27,1.9300000000000002,16,24,123.15,133.9,24.64,24.870000000000005,113.0,111.0
NAG1104,735052,2,20.05,17.64,2.27,1.9300000000000002,24,23,123.15,133.9,24.64,24.870000000000005,68.0,124.0
NAG1104,735052,3,20.05,17.64,2.27,1.9300000000000002,16,21,123.15,133.9,24.64,24.870000000000005,136.0,127.0
NAG1104,735052,4,20.05,17.64,2.27,1.9300000000000002,26,20,123.15,133.9,24.64,24.870000000000005,135.0,150.0
